service_date,service_hour,dong_name,included_in_3d_map,day_type,living_population,temperature,rain,business_total,subway_daily_alight,traffic_speed,traffic_congestion,transit_pressure,subway_pressure,hourly_raw_score,hourly_relative_demand
20260307,16,대치4동,1,weekday,55133.9909,5.6,0.0,3868.0,2342.93,20.2,0.04950495049504951,7657.645,4495.032,0.2428814,0.08702535
20260307,16,삼성1동,1,weekday,50892.9782,5.6,0.0,3259.0,4653.53,21.8,0.04587155963302752,5988.065,6749.742,0.21863984,0.07833951
20260307,16,삼성2동,1,weekday,30912.3604,5.6,0.0,3595.0,5051.6,20.1,0.04975124378109452,2907.065,20769.29,0.22637019,0.08110932
20260307,16,신사동,1,weekday,45097.8145,5.6,0.0,5409.0,4580.07,18.3,0.0546448087431694,1144.548,6650.322,0.18854023,0.0675547
20260307,16,압구정동,0,weekday,51585.9884,5.6,0.0,4304.0,5605.0,15.5,0.06451612903225806,7106.355,13663.226,0.37759016,0.13529203
20260307,16,역삼1동,1,weekday,101560.3059,5.6,0.0,13420.0,13230.07,22.3,0.04484304932735426,14329.0,28782.388,0.82,0.2938092
20260307,16,역삼2동,1,weekday,38273.92595,5.6,0.0,3555.0,0.0,22.2,0.04504504504504505,1492.032,0.0,0.03042839,0.01090261
20260307,16,청담동,1,weekday,48330.914,5.6,0.0,4760.0,1446.33,19.2,0.052083333333333336,1525.484,4286.13,0.1421817,0.05094426
20260307,17,논현1동,1,weekday,37459.9365,5.2,0.0,5187.0,8633.27,21.4,0.04672897196261683,13063.548,17201.934,0.34737912,0.10939726
20260307,17,논현2동,1,weekday,42679.7457,5.2,0.0,5294.0,1434.53,21.5,0.046511627906976744,7276.452,19452.256,0.26291854,0.08279878
20260307,17,대치4동,1,weekday,53428.8711,5.2,0.0,3868.0,2970.0,19.7,0.050761421319796954,11044.774,6031.42,0.28891643,0.09098608
20260307,17,삼성1동,1,weekday,49049.1539,5.2,0.0,3259.0,5034.6,21.2,0.04716981132075472,7640.419,8602.388,0.24635767,0.0775834
20260307,17,삼성2동,1,weekday,29743.7823,5.2,0.0,3595.0,5728.8,19.9,0.05025125628140704,4268.935,31525.936,0.27276474,0.08589956
20260307,17,신사동,1,weekday,43509.9917,5.2,0.0,5409.0,5809.33,18.6,0.05376344086021505,1184.935,8956.13,0.22892869,0.07209463
20260307,17,압구정동,0,weekday,50525.6811,5.2,0.0,4304.0,6495.6,15.6,0.06410256410256411,8451.516,16905.55,0.38740604,0.12200261
20260307,17,역삼1동,1,weekday,99693.7325,5.2,0.0,13420.0,16353.6,22.0,0.045454545454545456,21884.774,44900.064,0.87,0.27398197
20260307,17,역삼2동,1,weekday,38195.55325,5.2,0.0,3555.0,0.0,21.8,0.04587155963302752,1797.387,0.0,0.08536736,0.02688404
20260307,17,청담동,1,weekday,46046.7582,5.2,0.0,4760.0,1567.8,19.3,0.05181347150259067,1957.806,6176.646,0.1853529,0.05837167
20260307,18,논현1동,1,weekday,36762.1193,4.4,0.0,5187.0,10613.33,21.9,0.04566210045662101,17439.419,22800.774,0.36697063,0.11343732
20260307,18,논현2동,1,weekday,41344.6164,4.4,0.0,5294.0,1436.4,20.8,0.04807692307692307,10704.097,28642.324,0.30128219,0.09313182
20260307,18,대치4동,1,weekday,52204.0597,4.4,0.0,3868.0,2731.13,19.6,0.0510204081632653,13554.742,5694.71,0.2889279,0.08931289
20260307,18,삼성1동,1,weekday,45709.1027,4.4,0.0,3259.0,4855.4,20.7,0.04830917874396135,9099.097,10008.0,0.23923668,0.07395243
20260307,18,삼성2동,1,weekday,29090.2087,4.4,0.0,3595.0,5893.2,19.6,0.0510204081632653,5756.065,41782.388,0.28934556,0.089442
20260307,18,신사동,1,weekday,40183.1431,4.4,0.0,5409.0,7509.4,19.1,0.05235602094240837,1309.387,11956.968,0.22788691,0.070444
20260307,18,압구정동,0,weekday,46374.9268,4.4,0.0,4304.0,6599.2,16.3,0.06134969325153374,9756.0,20669.872,0.37074282,0.11460337
20260307,18,역삼1동,1,weekday,96038.2363,4.4,0.0,13420.0,19369.6,21.9,0.04566210045662101,25797.677,55616.904,0.87,0.26893288
20260307,18,역삼2동,1,weekday,37753.21195,4.4,0.0,3555.0,0.0,21.3,0.046948356807511735,1963.968,0.0,0.09128093,0.0282166
20260307,18,청담동,1,weekday,42998.6621,4.4,0.0,4760.0,1585.4,19.0,0.05263157894736842,2253.903,8336.452,0.18933428,0.05852668
20260307,19,논현1동,1,weekday,35067.8404,3.7,0.0,5187.0,6314.0,22.4,0.044642857142857144,11020.29,14898.646,0.37994192,0.12062866
20260307,19,논현2동,1,weekday,38529.1542,3.7,0.0,5294.0,913.6,22.0,0.045454545454545456,5946.935,15747.55,0.27905425,0.08859759
20260307,19,대치4동,1,weekday,50789.8884,3.7,0.0,3868.0,1905.33,21.4,0.04672897196261683,7200.161,3859.42,0.2737504,0.08691366
20260307,19,삼성1동,1,weekday,41787.6502,3.7,0.0,3259.0,2964.73,23.0,0.043478260869565216,4829.484,5360.904,0.20778089,0.06596885
20260307,19,삼성2동,1,weekday,28879.4204,3.7,0.0,3595.0,3776.8,21.3,0.046948356807511735,3200.419,22583.354,0.26402683,0.0838265
20260307,19,신사동,1,weekday,37419.5373,3.7,0.0,5409.0,4996.8,20.5,0.04878048780487805,984.0,7856.064,0.23016272,0.07307491
20260307,19,압구정동,0,weekday,42939.9336,3.7,0.0,4304.0,3840.93,17.6,0.056818181818181816,6749.129,14460.324,0.37569763,0.11928113
20260307,19,역삼1동,1,weekday,92122.0819,3.7,0.0,13420.0,11846.8,23.9,0.041841004184100423,16114.355,35279.16,0.87,0.27621836
20260307,19,역삼2동,1,weekday,37378.79315,3.7,0.0,3555.0,0.0,23.5,0.0425531914893617,1366.71,0.0,0.08923728,0.02833216
20260307,19,청담동,1,weekday,40127.4747,3.7,0.0,4760.0,1219.4,20.7,0.04830917874396135,1511.935,4479.032,0.18003012,0.05715819
