month,station_name,line_name,dong_name,transit_dong_code,included_in_3d_map,service_hour,monthly_get_on,monthly_get_off,daily_avg_get_on,daily_avg_get_off,daily_avg_station_pressure
202603,강남구청,7호선,논현2동,11230530,1,22,21897,5981,706.355,192.935,899.29
202603,강남구청,7호선,논현2동,11230530,1,23,9037,4090,291.516,131.935,423.452
202603,학동,7호선,논현2동,11230530,1,0,1441,1381,46.484,44.548,91.032
202603,학동,7호선,논현2동,11230530,1,1,0,0,0.0,0.0,0.0
202603,학동,7호선,논현2동,11230530,1,2,0,0,0.0,0.0,0.0
202603,학동,7호선,논현2동,11230530,1,3,0,0,0.0,0.0,0.0
202603,학동,7호선,논현2동,11230530,1,4,8,0,0.258,0.0,0.258
202603,학동,7호선,논현2동,11230530,1,5,2068,2206,66.71,71.161,137.871
202603,학동,7호선,논현2동,11230530,1,6,4944,24318,159.484,784.452,943.935
202603,학동,7호선,논현2동,11230530,1,7,8949,57164,288.677,1844.0,2132.677
202603,학동,7호선,논현2동,11230530,1,8,13305,181891,429.194,5867.452,6296.645
202603,학동,7호선,논현2동,11230530,1,9,12985,136427,418.871,4400.871,4819.742
202603,학동,7호선,논현2동,11230530,1,10,12787,57853,412.484,1866.226,2278.71
202603,학동,7호선,논현2동,11230530,1,11,16670,29806,537.742,961.484,1499.226
202603,학동,7호선,논현2동,11230530,1,12,21457,26689,692.161,860.935,1553.097
202603,학동,7호선,논현2동,11230530,1,13,24488,31951,789.935,1030.677,1820.613
202603,학동,7호선,논현2동,11230530,1,14,29872,24304,963.613,784.0,1747.613
202603,학동,7호선,논현2동,11230530,1,15,38530,19967,1242.903,644.097,1887.0
202603,학동,7호선,논현2동,11230530,1,16,50158,20357,1618.0,656.677,2274.677
202603,학동,7호선,논현2동,11230530,1,17,89607,21518,2890.548,694.129,3584.677
202603,학동,7호선,논현2동,11230530,1,18,159066,21546,5131.161,695.032,5826.194
202603,학동,7호선,논현2동,11230530,1,19,77459,13704,2498.677,442.065,2940.742
202603,학동,7호선,논현2동,11230530,1,20,41829,9172,1349.323,295.871,1645.194
202603,학동,7호선,논현2동,11230530,1,21,34557,8304,1114.742,267.871,1382.613
202603,학동,7호선,논현2동,11230530,1,22,25474,6095,821.742,196.613,1018.355
202603,학동,7호선,논현2동,11230530,1,23,9236,3746,297.935,120.839,418.774
202603,논현,7호선,논현1동,11230520,1,0,2839,2286,91.581,73.742,165.323
202603,논현,7호선,논현1동,11230520,1,1,0,0,0.0,0.0,0.0
202603,논현,7호선,논현1동,11230520,1,2,0,0,0.0,0.0,0.0
202603,논현,7호선,논현1동,11230520,1,3,0,0,0.0,0.0,0.0
202603,논현,7호선,논현1동,11230520,1,4,30,0,0.968,0.0,0.968
202603,논현,7호선,논현1동,11230520,1,5,2902,1099,93.613,35.452,129.065
202603,논현,7호선,논현1동,11230520,1,6,4702,16381,151.677,528.419,680.097
202603,논현,7호선,논현1동,11230520,1,7,9901,43508,319.387,1403.484,1722.871
202603,논현,7호선,논현1동,11230520,1,8,15580,110318,502.581,3558.645,4061.226
202603,논현,7호선,논현1동,11230520,1,9,13760,98631,443.871,3181.645,3625.516
202603,논현,7호선,논현1동,11230520,1,10,13311,39611,429.387,1277.774,1707.161
202603,논현,7호선,논현1동,11230520,1,11,15609,26188,503.516,844.774,1348.29
202603,논현,7호선,논현1동,11230520,1,12,17827,25354,575.065,817.871,1392.935
202603,논현,7호선,논현1동,11230520,1,13,19859,27652,640.613,892.0,1532.613
202603,논현,7호선,논현1동,11230520,1,14,25083,25061,809.129,808.419,1617.548
202603,논현,7호선,논현1동,11230520,1,15,29853,23602,963.0,761.355,1724.355
202603,논현,7호선,논현1동,11230520,1,16,37220,26574,1200.645,857.226,2057.871
202603,논현,7호선,논현1동,11230520,1,17,65742,32568,2120.71,1050.581,3171.29
202603,논현,7호선,논현1동,11230520,1,18,103694,36937,3344.968,1191.516,4536.484
202603,논현,7호선,논현1동,11230520,1,19,59243,21302,1911.065,687.161,2598.226
202603,논현,7호선,논현1동,11230520,1,20,39494,12743,1274.0,411.065,1685.065
202603,논현,7호선,논현1동,11230520,1,21,39999,10838,1290.29,349.613,1639.903
202603,논현,7호선,논현1동,11230520,1,22,34338,8161,1107.677,263.258,1370.935
202603,논현,7호선,논현1동,11230520,1,23,16788,5572,541.548,179.742,721.29
