service_date,service_hour,dong_name,transit_dong_code,included_in_3d_map,transit_inbound,transit_outbound,transit_internal,transit_pressure
20260329,23,청담동,11230780,1,74,153,34,193
20260330,0,신사동,11230510,1,13,50,13,50
20260330,0,논현1동,11230520,1,110,355,32,433
20260330,0,논현2동,11230530,1,51,146,16,181
20260330,0,삼성1동,11230580,1,44,101,25,120
20260330,0,삼성2동,11230590,1,76,111,26,161
20260330,0,대치4동,11230630,1,99,252,39,312
20260330,0,역삼1동,11230640,1,237,585,88,734
20260330,0,역삼2동,11230650,1,68,63,8,123
20260330,0,압구정동,11230770,0,45,130,18,157
20260330,0,청담동,11230780,1,36,48,15,69
20260330,1,신사동,11230510,1,0,0,0,0
20260330,1,논현1동,11230520,1,28,43,1,70
20260330,1,논현2동,11230530,1,0,3,2,1
20260330,1,삼성1동,11230580,1,8,31,10,29
20260330,1,삼성2동,11230590,1,32,36,9,59
20260330,1,대치4동,11230630,1,30,27,2,55
20260330,1,역삼1동,11230640,1,96,127,15,208
20260330,1,역삼2동,11230650,1,28,29,3,54
20260330,1,압구정동,11230770,0,0,0,0,0
20260330,1,청담동,11230780,1,22,9,1,30
20260330,2,신사동,11230510,1,0,0,0,0
20260330,2,논현1동,11230520,1,23,44,1,66
20260330,2,논현2동,11230530,1,0,0,0,0
20260330,2,삼성1동,11230580,1,15,8,1,22
20260330,2,삼성2동,11230590,1,20,25,7,38
20260330,2,대치4동,11230630,1,20,26,1,45
20260330,2,역삼1동,11230640,1,101,113,17,197
20260330,2,역삼2동,11230650,1,25,19,10,34
20260330,2,압구정동,11230770,0,0,0,0,0
20260330,2,청담동,11230780,1,15,10,0,25
20260330,3,신사동,11230510,1,1,0,0,1
20260330,3,논현1동,11230520,1,36,57,1,92
20260330,3,논현2동,11230530,1,1,0,0,1
20260330,3,삼성1동,11230580,1,49,10,2,57
20260330,3,삼성2동,11230590,1,30,43,11,62
20260330,3,대치4동,11230630,1,23,31,1,53
20260330,3,역삼1동,11230640,1,150,108,22,236
20260330,3,역삼2동,11230650,1,28,20,2,46
20260330,3,압구정동,11230770,0,1,0,0,1
20260330,3,청담동,11230780,1,25,17,0,42
20260330,4,신사동,11230510,1,160,21,1,180
20260330,4,논현1동,11230520,1,213,50,10,253
20260330,4,논현2동,11230530,1,216,21,8,229
20260330,4,삼성1동,11230580,1,443,30,8,465
20260330,4,삼성2동,11230590,1,213,35,10,238
20260330,4,대치4동,11230630,1,166,69,12,223
20260330,4,역삼1동,11230640,1,633,112,22,723
20260330,4,역삼2동,11230650,1,162,37,11,188
20260330,4,압구정동,11230770,0,323,39,9,353
20260330,4,청담동,11230780,1,222,41,11,252
20260330,5,신사동,11230510,1,200,47,8,239
20260330,5,논현1동,11230520,1,1158,418,62,1514
20260330,5,논현2동,11230530,1,1400,201,47,1554
20260330,5,삼성1동,11230580,1,1643,202,28,1817
20260330,5,삼성2동,11230590,1,757,130,25,862
20260330,5,대치4동,11230630,1,1550,230,34,1746
20260330,5,역삼1동,11230640,1,2675,508,79,3104
20260330,5,역삼2동,11230650,1,386,137,46,477
20260330,5,압구정동,11230770,0,1253,217,26,1444
20260330,5,청담동,11230780,1,438,98,32,504
20260330,6,신사동,11230510,1,259,86,18,327
20260330,6,논현1동,11230520,1,3330,1101,104,4327
20260330,6,논현2동,11230530,1,3191,520,96,3615
20260330,6,삼성1동,11230580,1,3271,582,85,3768
20260330,6,삼성2동,11230590,1,2023,517,87,2453
20260330,6,대치4동,11230630,1,5148,701,84,5765
20260330,6,역삼1동,11230640,1,8282,2225,320,10187
20260330,6,역삼2동,11230650,1,878,437,110,1205
20260330,6,압구정동,11230770,0,2235,576,76,2735
20260330,6,청담동,11230780,1,727,252,78,901
20260330,7,신사동,11230510,1,757,331,102,986
